Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
PHL,2010-02-01,2010-02-28,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2010,2010,,82.733029,A,base year is 2015
PHL,2011-02-01,2011-02-28,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2011,2011,,87.637639,A,base year is 2015
PHL,2012-02-01,2012-02-29,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2012,2012,,89.134548,X,base year is 2015
PHL,2013-02-01,2013-02-28,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2013,2013,,91.758814,X,base year is 2015
PHL,2014-02-01,2014-02-28,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2014,2014,,96.192918,X,base year is 2015
PHL,2015-02-01,2015-02-28,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2015,2015,,99.993579,X,base year is 2015
PHL,2016-02-01,2016-02-29,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2016,2016,,100.898499,X,base year is 2015
PHL,2017-02-01,2017-02-28,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2017,2017,,103.975224,X,base year is 2015
PHL,2018-02-01,2018-02-28,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2018,2018,,108.952280,X,base year is 2015
PHL,2019-02-01,2019-02-28,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2019,2019,,114.110320,X,base year is 2015
PHL,2020-02-01,2020-02-29,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2020,2020,,116.463110,X,base year is 2015
PHL,2021-02-01,2021-02-28,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2021,2021,,124.245416,X,base year is 2015
PHL,2022-02-01,2022-02-28,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2022,2022,,124.798743,X,base year is 2015
PHL,2000-03-01,2000-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2000,2000,,50.465857,A,base year is 2015
PHL,2001-03-01,2001-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2001,2001,,52.272819,A,base year is 2015
PHL,2002-03-01,2002-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2002,2002,,53.498971,A,base year is 2015
PHL,2003-03-01,2003-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2003,2003,,53.886177,A,base year is 2015
PHL,2004-03-01,2004-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2004,2004,,56.144879,A,base year is 2015
PHL,2005-03-01,2005-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2005,2005,,60.210543,A,base year is 2015
PHL,2006-03-01,2006-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2006,2006,,63.889000,A,base year is 2015
PHL,2007-03-01,2007-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2007,2007,,65.825031,A,base year is 2015
PHL,2008-03-01,2008-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2008,2008,,71.633122,A,base year is 2015
PHL,2009-03-01,2009-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2009,2009,,79.441777,A,base year is 2015
PHL,2010-03-01,2010-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2010,2010,,82.539426,A,base year is 2015
PHL,2011-03-01,2011-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2011,2011,,87.637639,A,base year is 2015
PHL,2012-03-01,2012-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2012,2012,,89.134548,X,base year is 2015
PHL,2013-03-01,2013-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2013,2013,,91.577830,X,base year is 2015
PHL,2014-03-01,2014-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2014,2014,,96.192918,X,base year is 2015
PHL,2015-03-01,2015-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2015,2015,,99.541120,X,base year is 2015
PHL,2016-03-01,2016-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2016,2016,,100.536531,X,base year is 2015
PHL,2017-03-01,2017-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2017,2017,,103.432273,X,base year is 2015
PHL,2018-03-01,2018-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2018,2018,,109.495232,X,base year is 2015
PHL,2019-03-01,2019-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2019,2019,,113.205401,X,base year is 2015
PHL,2020-03-01,2020-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2020,2020,,116.191634,X,base year is 2015
PHL,2021-03-01,2021-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2021,2021,,122.978529,X,base year is 2015
PHL,2022-03-01,2022-03-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2022,2022,,124.910570,X,base year is 2015
PHL,2000-04-01,2000-04-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2000,2000,,50.465857,A,base year is 2015
